epoch,dice_coef,loss,lr,val_dice_coef,val_loss
0,0.2352343648672104,0.7647653818130493,1e-04,0.1650141477584839,0.8349856734275818
1,0.42716413736343384,0.5728359818458557,1e-04,0.4472067952156067,0.5527932643890381
2,0.5523982644081116,0.4476017355918884,1e-04,0.531613826751709,0.46838614344596863
3,0.609392523765564,0.39060741662979126,1e-04,0.4391458034515381,0.5608541965484619
4,0.647423267364502,0.3525766432285309,1e-04,0.48644036054611206,0.5135596394538879
5,0.6803610324859619,0.3196389377117157,1e-04,0.518979012966156,0.4810211658477783
6,0.6960775256156921,0.303922563791275,1e-04,0.6853600740432739,0.31463998556137085
7,0.7272401452064514,0.2727595865726471,1e-04,0.6928386092185974,0.30716121196746826
8,0.7436211705207825,0.25637882947921753,1e-04,0.645026683807373,0.35497337579727173
9,0.7551180720329285,0.2448822259902954,1e-04,0.7217723727226257,0.278227835893631
10,0.7781807780265808,0.22181916236877441,1e-04,0.7416056394577026,0.2583940923213959
11,0.7726168632507324,0.22738324105739594,1e-04,0.7416393160820007,0.2583608329296112
12,0.7813225388526917,0.21867735683918,1e-04,0.7501348853111267,0.24986529350280762
13,0.795573353767395,0.20442689955234528,1e-04,0.7261425256729126,0.27385732531547546
14,0.7934879660606384,0.2065119594335556,1e-04,0.5813966393470764,0.4186035990715027
15,0.7937220931053162,0.20627793669700623,1e-04,0.5256981253623962,0.4743019640445709
16,0.8116474151611328,0.18835285305976868,1e-04,0.7169612646102905,0.2830387353897095
17,0.8241217732429504,0.17587816715240479,1e-04,0.7523344159126282,0.2476654350757599
18,0.8271206021308899,0.1728793978691101,1e-04,0.7523018717765808,0.24769774079322815
19,0.8355798721313477,0.16442015767097473,1e-04,0.7627366781234741,0.23726321756839752
20,0.8274815678596497,0.1725192815065384,1e-04,0.776602029800415,0.223397895693779
21,0.8386879563331604,0.16131193935871124,1e-04,0.7690595984458923,0.23094017803668976
22,0.8470151424407959,0.15298493206501007,1e-04,0.7624498009681702,0.23755019903182983
23,0.8438737988471985,0.15612636506557465,1e-04,0.6033621430397034,0.39663776755332947
24,0.849490225315094,0.1505097895860672,1e-04,0.7539361715316772,0.24606403708457947
25,0.847206711769104,0.15279346704483032,1e-04,0.7722707390785217,0.22772939503192902
26,0.8727376461029053,0.12726250290870667,1e-05,0.7988300919532776,0.20117001235485077
27,0.8817369341850281,0.11826284974813461,1e-05,0.8000513315200806,0.19994869828224182
28,0.8850730061531067,0.11492766439914703,1e-05,0.8001180291175842,0.19988203048706055
29,0.8870286345481873,0.11297140270471573,1e-05,0.8005412817001343,0.199458509683609
30,0.8895787596702576,0.11042111366987228,1e-05,0.8003963232040405,0.19960379600524902
31,0.8923467397689819,0.10765322297811508,1e-05,0.8009986281394958,0.1990015059709549
32,0.8946043848991394,0.10539571195840836,1e-05,0.8051525354385376,0.19484737515449524
33,0.896353006362915,0.10364724695682526,1e-05,0.8064262270927429,0.1935737580060959
34,0.8982768058776855,0.10172291845083237,1e-05,0.8053208589553833,0.19467921555042267
35,0.9000531435012817,0.09994709491729736,1e-05,0.8048308491706848,0.19516900181770325
36,0.9016370177268982,0.0983634889125824,1e-05,0.8045832514762878,0.19541674852371216
37,0.9028984308242798,0.09710170328617096,1e-05,0.8066917657852173,0.1933082491159439
38,0.903677761554718,0.09632240980863571,1e-05,0.8099610805511475,0.19003909826278687
39,0.905296802520752,0.09470313787460327,1e-05,0.8079703450202942,0.19202981889247894
40,0.9070318937301636,0.09296810626983643,1e-05,0.8073744773864746,0.19262556731700897
41,0.9086697101593018,0.09132979065179825,1e-05,0.808201253414154,0.1917986422777176
42,0.909795343875885,0.09020446240901947,1e-05,0.8090905547142029,0.1909094601869583
43,0.9116261601448059,0.08837378770112991,1e-05,0.8077007532119751,0.19229930639266968
44,0.9132711291313171,0.0867295116186142,1e-06,0.8068671226501465,0.19313271343708038
45,0.9143536686897278,0.08564593642950058,1e-06,0.807457685470581,0.19254206120967865
46,0.9148281216621399,0.08517248183488846,1e-06,0.8075178265571594,0.19248205423355103
47,0.9151695370674133,0.0848301500082016,1e-06,0.8075466752052307,0.19245336949825287
48,0.9155343770980835,0.08446554839611053,1e-06,0.80780428647995,0.19219544529914856
49,0.9155815243721008,0.0844181627035141,1e-07,0.8071180582046509,0.1928819864988327
50,0.9157643914222717,0.08423560857772827,1e-07,0.806912899017334,0.19308702647686005
51,0.9158213138580322,0.0841786190867424,1e-07,0.8068875074386597,0.1931125670671463
52,0.9158636927604675,0.08413591235876083,1e-07,0.8069133758544922,0.19308651983737946
53,0.9159033298492432,0.08409663289785385,1e-07,0.8069530725479126,0.19304686784744263
54,0.9159415364265442,0.08405903726816177,1e-07,0.8069874048233032,0.19301261007785797
55,0.915976345539093,0.08402353525161743,1e-07,0.8070160150527954,0.19298402965068817
56,0.9160110354423523,0.08398902416229248,1e-07,0.807042121887207,0.192957803606987
57,0.9160445928573608,0.08395519852638245,1e-07,0.807060718536377,0.19293943047523499
58,0.916077733039856,0.08392214775085449,1e-07,0.8070719838142395,0.192927747964859
